#!R id, size(byte), deadline, <virtual link id>, type [TT, RC], [period | rate] (us), [offset | ] [packed | fragmented]
s1, 46, 2000.0, vll, TT, 1000000.0, 0.0
s2, 46, 2000.0, vl1, TT, 200000.0, 0.0
s3, 46, 2000.0, vl2, TT, 1000000.0, 0.0
s4, 46, 2000.0, vl2, TT, 200000.0, 0.0
s5, 46, 2000.0, vl3, TT, 5000.0, 0.0
s6, 46, 2000.0, vl3, TT, 50000.0, 0.0
s7, 46, 2000.0, vl3, TT, 100000.0, 0.0
s8, 46, 2000.0, vl3, TT, 100000.0, 0.0
s9, 46, 2000.0, vl3, TT, 200000.0, 0.0
s10, 46, 2000.0, vl3, TT, 50000.0, 0.0
s11, 46, 2000.0, vl3, TT, 1000000.0, 0.0
s12, 46, 2000.0, vl3, TT, 1000000.0, 0.0
s13, 46, 2000.0, vl4, TT, 100000.0, 0.0
s14, 46, 2000.0, vl4, TT, 200000.0, 0.0
s15, 46, 2000.0, vl4, TT, 200000.0, 0.0
s16, 46, 2000.0, vl5, TT, 100000.0, 0.0
s17, 46, 2000.0, vl5, TT, 200000.0, 0.0
s18, 46, 2000.0, vl5, TT, 50000.0, 0.0
s19, 46, 2000.0, vl5, TT, 50000.0, 0.0
s20, 46, 2000.0, vl5, TT, 1000000.0, 0.0
s21, 46, 2000.0, vl6, TT, 10000.0, 0.0
s22, 46, 2000.0, vl6, TT, 1000000.0, 0.0
s23, 678, 2000.0, vl7, TT, 16660.0, 0.0
s24, 678, 2000.0, vl8, TT, 16660.0, 0.0
s25, 678, 2000.0, vl9, TT, 16660.0, 0.0
s26, 678, 2000.0, vl10, TT, 16660.0, 0.0
s27, 678, 2000.0, vl11, TT, 16660.0, 0.0
s28, 120, 2000.0, vl12, TT, 625.0, 0.0
s29, 50, 50000.0, vl13, TT, 5000.0, 0.0
s30, 334, 50000.0, vl14, TT, 33330.0, 0.0
s31, 80, 50000.0, vl14, TT, 250.0, 0.0
